fName,lName,dob,program,year,country
Minnnie,Meads,12-09-2012,ASCG,2017,Nigeria
Blakelee,Flacknoe,07-12-2001,ASCG,2015,South Africa
Almeria,Swinfon,01-07-2011,ASCG,2018,Nigeria
Winifred,Silverman,21-08-2003,ASCG,2015,Nigeria
Gizela,Stanett,10-06-2004,ASCG,2018,Ghana
Erma,Fantin,29-08-2003,ASCG,2016,Libya
Corry,Deards,23-01-2007,ASCG,2022,Uganda
Maddie,Stobart,03-12-2005,ASCG,2024,South Africa
Maighdiln,Crothers,06-02-2006,ASCG,2019,Uganda
Raynell,Vahl,14-04-2000,ASCG,2021,Nigeria
Krystyna,Caskey,18-01-2010,ASCG,2024,South Africa
Madalyn,MacDunleavy,12-10-2007,DSC,2022,Kenya
Bell,Akess,04-03-2000,ASCG,2025,South Africa
Alissa,Brimham,01-08-2007,ASCG,2021,South Africa
Lacie,Rebbeck,24-09-2012,ASCG,2017,South Africa
Marrissa,Le Fevre,08-05-2009,ASCG,2014,South Africa
Linette,Farahar,01-06-2006,ASCG,2024,Nigeria
Brigitta,Rignall,10-11-2008,ASCG,2018,Nigeria
Alison,Le Marquand,08-02-2010,CBC,2015,Botswana
Kenna,Cayzer,01-09-2000,ASCG,2023,Uganda
Philippa,Matushevich,30-12-2009,ASCG,2014,Ghana
Aline,McCathay,16-09-2007,ASCG,2018,Kenya
Maxi,Malam,06-04-2007,ASCG,2018,South Africa
Kailey,Willimot,20-04-2004,ASCG,2016,Nigeria
Clarita,Arpur,01-10-2003,ASCG,2018,Nigeria
Diahann,Willans,26-04-2012,ASCG,2025,South Africa
Ag,Troubridge,04-06-2008,ASCG,2023,South Africa
Davine,Renackowna,23-07-2009,ASCG,2025,Nigeria
Lorianne,Castagnone,26-02-2011,ASCG,2019,Kenya
Juliann,Standell,03-10-2000,ASCG,2024,Nigeria
Robinett,Iffe,02-02-2002,ASCG,2022,Nigeria
Delinda,Dundridge,21-10-2003,SSC,2016,Ghana
Cherilyn,Priestland,10-10-2010,ASCG,2022,Libya
Fernande,Illem,19-02-2004,ASCG,2020,Nigeria
Sal,Ruf,26-02-2002,ASCG,2023,South Africa
Juline,Adkin,27-02-2012,ASCG,2016,South Africa
Denice,Tirrey,08-01-2003,ASCG,2021,Libya
Hermia,Kalisz,02-07-2008,ASCG,2015,Ghana
Blake,Glozman,13-10-2007,ASCG,2017,Nigeria
Thia,Frankes,04-02-2000,ASCG,2021,Nigeria
Valentina,Wallenger,08-09-2011,ASCG,2025,Nigeria
Judi,Carayol,16-03-2006,ASCG,2023,Uganda
Rhetta,Shay,02-05-2011,ASCG,2019,South Africa
Nertie,Schruyers,23-05-2012,CBC,2018,Uganda
Tobey,Fremantle,18-10-2003,ASCG,2023,Libya
Joan,Costin,29-03-2005,ASCG,2024,Togo
Lyndsey,Sokell,29-10-2012,ASCG,2025,Uganda
Harmonie,Prantl,18-09-2010,ASCG,2014,Libya
Lexi,Blanchet,23-05-2003,ASCG,2024,South Africa
Antonetta,Healings,24-10-2000,ASCG,2018,Ghana
Chiquita,Ribou,07-02-2004,CBC,2023,Kenya
Nananne,Tole,07-01-2011,ASCG,2014,Uganda
Jenelle,Mourbey,07-07-2008,ASCG,2020,Ghana
Julissa,Beran,03-08-2007,DSC,2022,Benin
Jerrylee,Borris,14-01-2000,ASCG,2024,South Africa
Daloris,Wyld,25-08-2001,ASCG,2022,Nigeria
Violante,Crosher,19-10-2004,ASCG,2017,South Africa
Amandie,Harrhy,29-05-2001,ASCG,2016,Ghana
Isabelle,Suttle,19-08-2010,ASCG,2020,Zimbabwe
Jamie,Huckerbe,25-09-2000,ASCG,2018,Nigeria
Rochella,Lyvon,11-07-2011,ASCG,2019,Nigeria
Elsa,Skittreal,12-04-2000,ASCG,2019,Kenya
Jennette,Coiley,01-06-2006,DSC,2016,Kenya
Adriaens,Upson,23-12-2011,ASCG,2021,Uganda
Lillis,Buller,07-08-2011,ASCG,2020,Nigeria
Ailsun,Whittam,15-09-2002,ASCG,2019,South Africa
Krystal,O'Grogane,22-02-2005,ASCG,2019,Libya
Karla,Budgett,16-08-2007,ASCG,2025,Nigeria
Ernaline,Mingardo,30-04-2011,SSC,2023,Nigeria
Aubrey,Lupson,19-07-2011,ASCG,2017,South Africa
Sarine,Cheeke,01-04-2007,ASCG,2019,Uganda
Shannah,Scotchbourouge,14-02-2001,ASCG,2017,Nigeria
Chrystel,Caughan,08-09-2011,ASCG,2020,Nigeria
Audi,Sibbson,24-03-2008,ASCG,2022,Nigeria
Katharyn,Wiskar,15-06-2009,ASCG,2017,Ghana
Elaine,Bulgen,13-08-2001,ASCG,2023,South Africa
Allie,Bemand,03-01-2007,CBC,2018,South Africa
Irma,Broadist,07-06-2012,ASCG,2025,Nigeria
Alisun,Jakucewicz,07-02-2008,ASCG,2024,South Africa
Ortensia,Kahan,03-02-2004,ASCG,2023,South Africa
Louella,Lowthorpe,23-04-2012,ASCG,2015,Nigeria
Tarah,Hegge,07-08-2009,ASCG,2019,Nigeria
Ralina,Benediktovich,30-11-2005,SSC,2014,South Africa
Jenda,Lakenden,06-10-2003,ASCG,2018,Botswana
Giuditta,Benitti,13-11-2003,ASCG,2018,Nigeria
Maribelle,Harly,29-12-2011,ASCG,2016,Ghana
Matti,Lergan,22-09-2002,DSC,2024,South Africa
Aime,Stollsteimer,21-05-2006,ASCG,2023,Kenya
Carolynn,Pierri,11-10-2012,ASCG,2016,Libya
Giulia,Stanman,13-08-2012,ASCG,2020,Nigeria
Elvera,Stoffer,04-10-2002,ASCG,2022,South Africa
Edythe,McGrory,02-12-2008,ASCG,2017,South Africa
Amalle,Bransgrove,30-12-2000,ASCG,2018,Nigeria
Cornela,Ivanchin,22-08-2012,ASCG,2023,Kenya
Barbaraanne,Aughton,22-11-2012,ASCG,2018,Botswana
Roch,Eyes,18-11-2002,ASCG,2022,Nigeria
Jaquenette,Beceril,28-10-2011,ASCG,2015,South Africa
Leoine,Leveritt,04-10-2006,SSC,2024,South Africa
Gussy,Tunnah,21-09-2012,ASCG,2024,South Africa
Zia,Barensky,08-10-2006,ASCG,2015,Nigeria
Coraline,Dantesia,29-11-2009,ASCG,2015,Kenya
Linnea,McBrier,05-09-2000,ASCG,2021,Benin
Anallise,Sealove,07-04-2003,ASCG,2015,Nigeria
Josee,Gypson,28-08-2000,ASCG,2025,Ghana
Fernanda,Jolliss,22-08-2000,ASCG,2017,Nigeria
Adelind,Threadgould,04-10-2008,DSC,2019,Kenya
Aretha,Rosekilly,05-10-2002,DSC,2014,Libya
Bobbee,Slocumb,04-02-2008,SSC,2023,Zimbabwe
Wally,Florez,17-04-2005,ASCG,2024,Nigeria
Dulce,Knewstub,23-06-2004,ASCG,2017,Zimbabwe
Wylma,Knibley,06-10-2012,ASCG,2018,Nigeria
Elise,Gussin,20-09-2007,ASCG,2020,Uganda
Constancy,Puttrell,01-04-2003,ASCG,2025,South Africa
Pamela,Cuff,16-06-2006,ASCG,2025,Nigeria
Melanie,Olivello,25-01-2001,SSC,2020,Nigeria
Cybil,Rieme,26-11-2010,ASCG,2023,South Africa
Tessi,Tease,17-03-2007,ASCG,2018,Libya
Chere,Campion,06-03-2001,ASCG,2014,Nigeria
Alidia,Anstie,02-10-2001,ASCG,2023,Zimbabwe
Merrill,McEneny,05-12-2001,ASCG,2014,Nigeria
Emma,Klimke,18-01-2002,DSC,2019,Botswana
Jilleen,Knighton,20-02-2011,ASCG,2017,Uganda
Edith,Saxby,21-05-2000,ASCG,2016,Uganda
Lori,Sabbin,16-04-2012,ASCG,2014,South Africa
Cynthia,Prigg,10-09-2001,ASCG,2017,Nigeria
Ara,Lamberteschi,12-04-2007,ASCG,2015,Uganda
Myrtice,Rouby,10-04-2002,ASCG,2015,Uganda
Guinevere,Emmins,17-11-2007,ASCG,2025,Ghana
Persis,Geddes,30-07-2000,SSC,2023,Libya
Brandea,Milmo,13-04-2009,ASCG,2017,Kenya
Miranda,Pitrollo,26-05-2003,ASCG,2021,Nigeria
Tasha,Ten Broek,05-04-2003,ASCG,2016,South Africa
Mariette,Chipchase,12-04-2012,ASCG,2022,Nigeria
Brena,Lebreton,05-04-2005,ASCG,2016,Nigeria
Tobe,Askam,07-06-2009,ASCG,2020,Nigeria
Zelma,Gudahy,30-05-2007,ASCG,2019,Zimbabwe
Evaleen,St Quenin,10-09-2006,ASCG,2020,Ghana
Maressa,Orht,21-09-2002,ASCG,2018,Togo
Reggie,Crippill,28-02-2012,ASCG,2021,South Africa
Karine,Marquand,07-04-2006,ASCG,2017,South Africa
Dee dee,Bendley,31-12-2008,ASCG,2014,South Africa
Randee,Davio,04-10-2004,ASCG,2018,Nigeria
Deina,Nicklinson,27-10-2008,ASCG,2025,Uganda
Selle,Brettel,07-08-2006,ASCG,2025,Libya
Rose,Bahike,12-12-2003,ASCG,2018,Nigeria
Janina,Dyet,22-06-2003,ASCG,2016,Nigeria
Nananne,Gisbey,31-07-2010,ASCG,2015,Benin
Eddie,Trevor,30-05-2009,ASCG,2016,Nigeria
Cherilyn,Moine,11-06-2000,ASCG,2023,Botswana
Rozina,Miles,19-06-2002,ASCG,2017,Nigeria
Berna,Axell,19-04-2006,ASCG,2024,Libya
Bobinette,Goodfellow,27-06-2005,ASCG,2016,South Africa
Seline,Windibank,10-08-2003,ASCG,2021,Nigeria
Polly,Patient,02-08-2012,ASCG,2016,Nigeria
Sidonia,Gillum,10-09-2010,ASCG,2017,South Africa
Brietta,Adriani,24-03-2004,ASCG,2018,South Africa
Ashlie,Ollerhad,20-02-2004,ASCG,2017,South Africa
Ileane,Petrol,14-01-2001,DSC,2025,Libya
Ruthie,Truin,27-01-2011,ASCG,2018,Botswana
Jannel,Ellwell,15-05-2007,ASCG,2023,Libya
Maxine,Sirman,13-02-2002,ASCG,2015,Zimbabwe
Yolane,Calderbank,19-11-2006,ASCG,2017,South Africa
Gerti,Hallihane,19-02-2007,CBC,2022,Nigeria
Lorelei,Cash,21-06-2010,ASCG,2021,Kenya
Valentina,Meddick,19-10-2000,ASCG,2017,South Africa
Nelli,Tryme,22-05-2012,ASCG,2015,Nigeria
Kiri,Mably,14-01-2010,DSC,2024,Botswana
Ginny,Bontoft,07-01-2011,ASCG,2018,Botswana
Lola,Marciek,27-12-2012,ASCG,2014,Libya
Trixi,Mustin,20-06-2011,ASCG,2025,South Africa
Hannie,Lidyard,04-09-2000,ASCG,2021,Nigeria
Kellsie,Guthrum,25-12-2010,ASCG,2024,Nigeria
Trixi,Privost,13-08-2012,DSC,2022,South Africa
Deeann,Maghull,21-09-2003,ASCG,2019,Nigeria
Wendi,Butterly,30-09-2000,ASCG,2018,Kenya
Zaneta,Dahlborg,14-05-2006,ASCG,2019,Kenya
Joline,Haselden,05-08-2008,ASCG,2017,Botswana
Kelci,Garm,22-11-2007,ASCG,2015,Uganda
Layney,MacAskie,24-11-2012,ASCG,2020,South Africa
Lanny,Van der Son,20-09-2009,ASCG,2021,South Africa
Mamie,Tims,03-02-2002,ASCG,2024,Ghana
Teirtza,Bielby,21-06-2009,ASCG,2025,Nigeria
Jo ann,Upfold,11-11-2007,ASCG,2021,Nigeria
Shirley,Bloodworth,01-10-2004,ASCG,2014,Uganda
Jeanelle,Sutherby,22-05-2000,ASCG,2022,Nigeria
Kipp,Giacobini,27-12-2000,ASCG,2019,Benin
Lorry,Beamish,17-09-2006,ASCG,2014,South Africa
Devonne,Kynaston,12-06-2011,ASCG,2021,South Africa
Paulina,Proffitt,25-11-2003,ASCG,2014,South Africa
Rivkah,Pickin,25-11-2009,ASCG,2016,Zimbabwe
Shara,Brownlie,11-06-2005,ASCG,2020,Uganda
Jackquelin,de Savery,15-07-2007,ASCG,2024,Libya
Vonny,Wanklin,21-04-2003,ASCG,2017,Nigeria
Fernandina,Mayger,10-01-2010,ASCG,2015,South Africa
Hanna,Metzig,17-07-2004,ASCG,2024,Rwanda
Fredi,Karlqvist,17-02-2002,ASCG,2018,Nigeria
Reine,Chansonnau,16-09-2012,CBC,2024,Nigeria
Alberta,Pitcock,23-05-2004,ASCG,2023,South Africa
Hedy,Dungay,23-01-2010,ASCG,2014,Ghana
Catarina,Meiningen,27-09-2008,ASCG,2021,Zimbabwe
Dawn,Branchett,06-11-2005,ASCG,2019,Zimbabwe
Isabel,Fetherstone,25-07-2007,ASCG,2021,Kenya
Devinne,Hanby,11-04-2003,ASCG,2017,Uganda
Emelda,Guiden,19-04-2004,ASCG,2018,Ghana
Gavra,Raft,12-02-2007,ASCG,2024,Botswana
Bette-ann,Whittles,08-07-2002,ASCG,2015,South Africa
Emera,Kleinplatz,05-11-2007,ASCG,2020,Benin
Josi,Fetteplace,19-04-2009,ASCG,2021,Nigeria
Mahala,Beagin,16-12-2012,ASCG,2025,Kenya
Malina,Koppke,06-04-2001,SSC,2015,Nigeria
Lynne,Blankenship,18-08-2011,ASCG,2018,Nigeria
Sibby,Cutress,06-11-2010,ASCG,2019,South Africa
Donica,Maneylaws,02-02-2001,ASCG,2025,South Africa
Henka,Wild,11-09-2006,ASCG,2019,Kenya
Marilee,Maxwale,21-01-2002,SSC,2023,Ghana
Konstance,Whieldon,09-03-2012,ASCG,2021,Nigeria
Jeanette,Fortnon,16-09-2011,ASCG,2022,Uganda
Alvina,Giacomelli,22-11-2008,ASCG,2014,Nigeria
Catharina,Darrigoe,02-08-2008,ASCG,2017,Kenya
Lesya,Edgeley,02-09-2011,ASCG,2018,Zimbabwe
Michele,Gayden,29-01-2003,ASCG,2024,Nigeria
Cris,Baythrop,05-02-2007,ASCG,2014,Nigeria
Mercie,McGow,20-08-2000,ASCG,2014,Rwanda
Adey,Gomez,08-04-2001,ASCG,2022,Kenya
Evania,Stubbings,04-02-2007,ASCG,2014,South Africa
Alyda,Pixton,02-03-2005,ASCG,2021,Libya
Deloris,Parradine,20-09-2008,ASCG,2015,Benin
Perri,Vernazza,17-01-2005,ASCG,2024,Libya
Evaleen,Bleddon,24-11-2011,ASCG,2016,Uganda
Kassandra,Rosendall,25-11-2012,DSC,2023,Zimbabwe
Pauli,Feild,04-05-2005,ASCG,2016,Nigeria
Dinah,Van den Velden,06-07-2002,CBC,2022,Nigeria
Lee,Lamzed,01-06-2011,ASCG,2017,Kenya
Mora,Labdon,20-04-2003,ASCG,2022,Nigeria
Dory,Orpyne,24-10-2009,ASCG,2025,Nigeria
Theodosia,Spurier,13-03-2004,ASCG,2020,South Africa
Annissa,MacCaig,01-02-2001,ASCG,2020,Uganda
Vikki,Caulcott,06-11-2009,ASCG,2014,Nigeria
Cher,Winward,29-08-2001,ASCG,2024,South Africa
Nana,Baptie,08-08-2000,ASCG,2019,Nigeria
Mareah,Pinshon,24-06-2012,ASCG,2015,Nigeria
Linnet,Ponnsett,11-06-2006,ASCG,2020,South Africa
Cloe,Bleue,18-09-2011,DSC,2019,Botswana
Minna,Morland,09-10-2000,CBC,2021,South Africa
Kathleen,Leggon,22-11-2005,ASCG,2020,Eritrea
Aveline,Winspeare,08-03-2009,ASCG,2020,South Africa
Quinn,Swetenham,29-03-2012,ASCG,2023,Ghana
Vickie,Airey,20-07-2011,ASCG,2017,Libya
Ofella,Geach,25-09-2008,ASCG,2016,South Africa
Daria,Loudwell,12-12-2009,ASCG,2019,Libya
Margery,Fitter,30-12-2012,ASCG,2025,Benin
Gaye,Thelwll,29-07-2010,ASCG,2024,Benin
Erminie,Couch,29-11-2010,ASCG,2022,Nigeria
Lezlie,Manhare,11-03-2000,ASCG,2014,Nigeria
Chrysa,Rowden,06-09-2008,ASCG,2022,Botswana
Kelcey,Morales,24-04-2005,ASCG,2018,Botswana
Elsy,Hughman,28-03-2012,SSC,2022,Nigeria
Loraine,Oaker,29-06-2006,ASCG,2015,Kenya
Sapphira,Will,25-11-2010,SSC,2018,Uganda
Masha,Checkley,02-01-2008,ASCG,2025,Nigeria
Dayna,Pobjay,09-06-2008,ASCG,2022,Kenya
Joelly,Marlor,14-06-2001,ASCG,2025,South Africa
Susan,Alleburton,19-07-2008,ASCG,2023,Nigeria
Shae,Hamson,09-01-2003,ASCG,2017,Kenya
Romy,Churm,12-01-2007,ASCG,2020,Nigeria
Daniele,Halfacre,25-07-2002,ASCG,2020,Botswana
Carline,Oglethorpe,19-09-2003,SSC,2015,Zimbabwe
Vinnie,Tapenden,04-12-2010,ASCG,2021,South Africa
Kare,Mityukov,31-08-2004,ASCG,2020,Libya
Julianne,Rickarsey,23-02-2012,DSC,2024,Kenya
Gillian,Maylor,19-03-2003,SSC,2023,Nigeria
Chrysler,Crowe,25-02-2012,ASCG,2020,Nigeria
Elberta,Hatchard,14-04-2010,ASCG,2014,South Africa
Benni,Gundry,24-06-2011,ASCG,2023,Nigeria
Crystie,Pullen,24-12-2000,ASCG,2020,Ghana
Gloria,Sterman,23-12-2008,CBC,2025,Togo
Verla,Grane,16-01-2012,ASCG,2014,Kenya
Maren,Lipscomb,10-03-2007,ASCG,2019,Nigeria
Erinna,Dorracott,26-08-2000,ASCG,2017,South Africa
Sisile,Swannick,05-05-2001,ASCG,2025,Uganda
Jonell,Lawful,18-10-2003,ASCG,2023,Ghana
Kassandra,Lamyman,16-02-2003,ASCG,2023,Ghana
Reeta,Reedick,24-03-2004,ASCG,2023,Benin
Cleo,Davitashvili,22-04-2007,ASCG,2015,Nigeria
Genna,Riggulsford,27-05-2006,ASCG,2018,South Africa
Ronnica,Provost,21-01-2004,ASCG,2018,Benin
Kissee,Petheridge,07-07-2012,ASCG,2017,South Africa
Brett,Scrane,10-02-2011,DSC,2024,Zimbabwe
Juline,Allibone,18-04-2000,ASCG,2015,Nigeria
Billye,McAlpin,07-06-2002,ASCG,2021,Uganda
Willa,Duker,29-12-2006,ASCG,2018,Benin
Valli,Mylechreest,22-04-2003,CBC,2015,Uganda
Adena,Strute,12-02-2000,ASCG,2023,South Africa
Candy,Tompkin,17-03-2002,ASCG,2019,Libya
Marleah,Gwilym,23-05-2002,ASCG,2020,Nigeria
Morganica,Sully,29-10-2007,DSC,2018,Nigeria
Gilberta,Breckon,16-10-2001,CBC,2019,Uganda
Janka,Dillestone,18-05-2001,SSC,2014,Libya
Mariana,Mayne,20-03-2000,ASCG,2021,South Africa
Jacquenette,Saile,20-02-2001,ASCG,2014,Uganda
Sisely,Saunton,22-05-2011,ASCG,2019,Nigeria
Caressa,Reddington,19-04-2008,ASCG,2015,Nigeria
Corine,Wittier,23-03-2002,ASCG,2021,Nigeria
Roseann,Duiguid,21-07-2002,CBC,2023,Uganda
Revkah,Brockton,18-02-2004,ASCG,2014,South Africa
Serena,Chubb,31-12-2004,ASCG,2019,Nigeria
Valina,Silbert,06-04-2006,ASCG,2018,Zimbabwe
Dana,Bartolomucci,08-11-2007,CBC,2019,Botswana
Bab,Baguley,11-01-2012,ASCG,2014,South Africa
Caye,Wolsey,04-07-2009,ASCG,2021,South Africa
Roby,Mutton,21-05-2005,ASCG,2016,Nigeria
Kim,Scibsey,20-10-2009,ASCG,2025,South Africa
Arlette,D'Antonio,15-08-2011,ASCG,2015,Nigeria
Mercy,Frango,11-11-2001,ASCG,2019,Libya
Kari,Stood,06-01-2001,ASCG,2018,Kenya
Rubia,Fullom,22-02-2009,SSC,2025,South Africa
Margery,Cullinan,21-04-2012,ASCG,2019,Benin
Veronika,Blannin,07-10-2002,ASCG,2021,Libya
Cherilynn,Sewart,09-03-2008,ASCG,2023,Nigeria
Kittie,Labon,14-01-2012,ASCG,2014,Benin
Bambi,Doughill,25-12-2012,ASCG,2025,Nigeria
Daniela,Haill,04-08-2012,ASCG,2023,Uganda
Leela,Jeandel,17-07-2011,ASCG,2024,South Africa
Asia,Mandres,28-09-2003,ASCG,2020,Togo
Tersina,Clarabut,10-03-2001,ASCG,2023,Nigeria
Gabriella,McGill,27-09-2002,ASCG,2023,South Africa
Manon,Bronot,17-03-2003,ASCG,2022,Nigeria
Vivien,Espinal,03-01-2007,ASCG,2025,Botswana
Merrily,Skipping,02-11-2001,ASCG,2022,Kenya
Kailey,Kuhnert,01-11-2007,ASCG,2020,Nigeria
Corabella,Hutcheons,07-12-2008,ASCG,2022,Benin
Eadie,Halton,13-01-2006,ASCG,2018,Kenya
Karolina,Streeton,03-10-2011,ASCG,2014,South Africa
Aura,Wink,13-08-2000,ASCG,2019,Kenya
Dorolisa,Archard,28-04-2003,ASCG,2015,Nigeria
Ashleigh,Mandrey,23-09-2012,ASCG,2022,Uganda
Lanita,Syddie,12-07-2005,ASCG,2020,Nigeria
Yoshi,Paniman,25-06-2006,ASCG,2018,Nigeria
Billye,Sturrock,05-10-2005,ASCG,2019,Nigeria
Lynelle,Twycross,18-01-2010,ASCG,2019,Nigeria
Martica,Paroni,06-07-2007,ASCG,2022,Nigeria
Gwendolyn,Newvell,20-05-2006,ASCG,2025,South Africa
Sheela,Muldowney,23-10-2010,ASCG,2017,Benin
Judie,Massei,10-06-2003,ASCG,2015,South Africa
Tessi,Forrington,17-06-2001,ASCG,2023,Zimbabwe
Ginni,Clougher,17-03-2003,ASCG,2025,Ghana
Corissa,Burcombe,12-01-2002,ASCG,2016,Libya
Annetta,McAdam,14-09-2011,ASCG,2023,Nigeria
Jilleen,Ikin,09-06-2007,ASCG,2020,Togo
Sybila,O'Cooney,29-07-2005,SSC,2018,Uganda
Trudi,Bertson,09-12-2007,ASCG,2021,Botswana
Shaylah,Cahillane,01-06-2001,ASCG,2022,Benin
Athena,Gellier,07-01-2005,ASCG,2022,Uganda
Ruthi,Di Roberto,15-11-2005,ASCG,2014,Kenya
Abbye,Inglefield,25-06-2000,ASCG,2023,South Africa
Eveleen,Basezzi,05-01-2010,ASCG,2021,South Africa
Ricky,McKune,27-05-2007,ASCG,2020,South Africa
Emmaline,Walkowski,20-01-2001,ASCG,2023,South Africa
Claude,Foggo,07-09-2009,ASCG,2020,Nigeria
Kirbee,Gouthier,11-09-2002,ASCG,2016,Nigeria
Alayne,Maestro,10-11-2006,ASCG,2023,Nigeria
Hedy,Baumert,15-07-2009,CBC,2017,South Africa
Ronnie,Gotts,22-11-2007,ASCG,2025,Nigeria
Donna,Moret,29-04-2002,ASCG,2019,Nigeria
Fleur,Call,24-05-2008,ASCG,2021,Libya
Devondra,Tilberry,26-07-2004,ASCG,2025,Zimbabwe
Bernete,McAvinchey,04-06-2001,ASCG,2023,Nigeria
Florri,Newlyn,22-02-2001,CBC,2021,Nigeria
Alice,Caveney,05-03-2007,ASCG,2019,Nigeria
Marlie,Cornes,03-08-2008,CBC,2018,Nigeria
Tarrah,Marriott,17-06-2011,ASCG,2019,Botswana
Lurleen,Lincey,23-09-2010,ASCG,2024,Botswana
Eda,Knutsen,08-07-2003,ASCG,2016,South Africa
Muffin,Benez,19-06-2009,ASCG,2023,South Africa
Joy,Davydochkin,29-09-2001,ASCG,2018,South Africa
Rosabelle,Willstrop,17-08-2003,ASCG,2021,Ghana
Stepha,Been,29-05-2003,ASCG,2016,Uganda
Leah,Hudless,02-12-2011,ASCG,2015,South Africa
Lishe,Connaughton,20-03-2007,ASCG,2020,Benin
Antonina,Spinige,27-07-2003,ASCG,2021,South Africa
Christalle,Exall,02-09-2012,ASCG,2018,Nigeria
Sarajane,Edlyne,24-08-2010,ASCG,2023,South Africa
Bernette,Cicccitti,27-05-2003,ASCG,2015,Nigeria
Bette,Nevison,22-12-2009,ASCG,2025,South Africa
Jasmin,Cymper,31-12-2003,DSC,2020,Kenya
Blancha,Shillitoe,19-05-2000,ASCG,2020,Togo
Kathryne,Prott,27-07-2012,ASCG,2023,South Africa
Elora,Lazonby,29-05-2007,ASCG,2015,Nigeria
Emmy,Lagde,27-10-2000,ASCG,2024,Ghana
Cassondra,Killingworth,29-06-2005,ASCG,2016,Kenya
Cati,Riddich,01-05-2011,ASCG,2015,South Africa
Cami,Borrie,18-03-2004,ASCG,2025,Nigeria
Teresina,Needs,13-10-2009,ASCG,2022,Uganda
Elva,Mapis,09-07-2006,ASCG,2016,Nigeria
Viv,Surgen,13-03-2011,SSC,2021,South Africa
Elaine,Sacchetti,13-01-2002,ASCG,2024,Nigeria
Margalit,Proppers,04-03-2007,ASCG,2020,South Africa
Malinda,Benezet,14-01-2004,ASCG,2017,South Africa
Eden,Ruger,11-05-2009,ASCG,2021,South Africa
Emmey,Segge,19-02-2006,ASCG,2025,South Africa
Carly,Merriday,30-03-2001,ASCG,2020,Rwanda
Linda,Brittan,04-05-2005,ASCG,2019,South Africa
Tani,Mallows,30-09-2001,ASCG,2020,Ghana
Cal,Maymand,09-12-2003,ASCG,2021,Nigeria
Scarlett,Wethey,21-06-2007,ASCG,2025,Nigeria
Agna,Blain,21-03-2000,ASCG,2016,Uganda
Collie,Ovitts,15-04-2001,ASCG,2019,Zimbabwe
Dehlia,Jirek,10-06-2008,ASCG,2021,Libya
Melessa,Donati,10-04-2000,ASCG,2015,South Africa
Sheri,Acock,20-09-2007,ASCG,2016,Ghana
Clarie,Geale,02-12-2001,ASCG,2016,South Africa
Jenda,Weth,19-10-2000,ASCG,2023,South Africa
Vania,Anand,15-06-2004,ASCG,2014,Ghana
Eveleen,Tournie,02-06-2003,ASCG,2017,Kenya
Lorri,Tamplin,28-01-2001,ASCG,2025,South Africa
Felecia,Strongitharm,23-01-2001,ASCG,2020,Nigeria
Kristan,Idle,15-09-2002,ASCG,2016,Zimbabwe
Dore,Ewell,20-07-2000,ASCG,2018,Benin
Legra,Hothersall,28-09-2009,ASCG,2024,Eritrea
Marianne,Chadwen,13-09-2007,SSC,2025,Nigeria
Fiann,Juza,03-12-2009,SSC,2016,Benin
Cookie,Schaumann,09-08-2005,ASCG,2017,Nigeria
Helen,Haysom,09-11-2001,SSC,2024,Nigeria
Ingeberg,Degenhardt,16-09-2010,ASCG,2024,Kenya
